rtt,thput
0.005600,146285714.285714
0.004800,170666666.666667
0.004400,186181818.181818
0.006000,136533333.333333
0.005200,157538461.538462
0.004800,170666666.666667
0.004000,204800000.000000
0.008400,97523809.523810
0.005600,146285714.285714
0.004400,186181818.181818
0.004400,186181818.181818
0.004800,170666666.666667
0.004800,170666666.666667
0.005200,157538461.538462
0.004000,204800000.000000
0.004400,186181818.181818
0.004000,204800000.000000
0.004400,186181818.181818
0.006800,120470588.235294
0.004400,186181818.181818
0.004000,204800000.000000
0.004400,186181818.181818
0.005200,157538461.538462
0.003600,227555555.555556
0.003200,256000000.000000
0.004800,170666666.666667
0.003600,227555555.555556
0.004000,204800000.000000
0.007200,113777777.777778
0.004400,186181818.181818
0.005600,146285714.285714
0.005600,146285714.285714
0.006800,120470588.235294
0.004400,186181818.181818
0.005200,157538461.538462
0.005600,146285714.285714
0.005200,157538461.538462
0.006000,136533333.333333
0.006000,136533333.333333
0.005200,157538461.538462
0.004800,170666666.666667
0.004400,186181818.181818
0.004400,186181818.181818
0.005600,146285714.285714
0.005600,146285714.285714
0.003600,227555555.555556
0.005200,157538461.538462
0.022800,35929824.561404
0.004400,186181818.181818
0.012000,68266666.666667

0.005200,157538461.538462
0.004800,170666666.666667
0.004800,170666666.666667
0.004000,204800000.000000
0.004000,204800000.000000
0.004800,170666666.666667
0.005200,157538461.538462
0.004800,170666666.666667
0.005200,157538461.538462
0.003600,227555555.555556
0.005200,157538461.538462
0.005200,157538461.538462
0.005600,146285714.285714
0.006000,136533333.333333
0.003600,227555555.555556
0.006400,128000000.000000
0.006000,136533333.333333
0.009600,85333333.333333
0.005200,157538461.538462
0.012000,68266666.666667
0.006000,136533333.333333
0.005600,146285714.285714
0.013200,62060606.060606
0.004800,170666666.666667
0.007600,107789473.684211
0.006000,136533333.333333
0.005600,146285714.285714
0.005600,146285714.285714
0.004800,170666666.666667
0.004800,170666666.666667
0.006000,136533333.333333
0.004000,204800000.000000
0.006000,136533333.333333
0.006000,136533333.333333
0.005600,146285714.285714
0.006400,128000000.000000
0.007600,107789473.684211
0.005600,146285714.285714
0.007600,107789473.684211
0.006400,128000000.000000
0.006400,128000000.000000
0.006400,128000000.000000
0.005600,146285714.285714
0.005600,146285714.285714
0.006400,128000000.000000
0.006400,128000000.000000
0.006400,128000000.000000
0.009600,85333333.333333
0.030800,26597402.597403
0.013200,62060606.060606

0.004400,186181818.181818
0.003200,256000000.000000
0.004400,186181818.181818
0.004000,204800000.000000
0.004800,170666666.666667
0.003200,256000000.000000
0.004800,170666666.666667
0.004400,186181818.181818
0.005200,157538461.538462
0.004400,186181818.181818
0.009200,89043478.260870
0.004400,186181818.181818
0.008000,102400000.000000
0.005600,146285714.285714
0.005600,146285714.285714
0.004400,186181818.181818
0.005600,146285714.285714
0.005600,146285714.285714
0.004400,186181818.181818
0.009200,89043478.260870
0.011600,70620689.655172
0.007200,113777777.777778
0.005600,146285714.285714
0.008400,97523809.523810
0.009600,85333333.333333
0.005600,146285714.285714
0.007200,113777777.777778
0.004400,186181818.181818
0.006000,136533333.333333
0.005600,146285714.285714
0.008000,102400000.000000
0.006000,136533333.333333
0.006000,136533333.333333
0.005200,157538461.538462
0.006800,120470588.235294
0.007600,107789473.684211
0.005200,157538461.538462
0.007600,107789473.684211
0.006000,136533333.333333
0.007200,113777777.777778
0.005200,157538461.538462
0.021600,37925925.925926
0.012000,68266666.666667
0.009200,89043478.260870
0.007600,107789473.684211
0.007600,107789473.684211
0.009600,85333333.333333
0.005600,146285714.285714
0.016800,48761904.761905
0.027200,30117647.058824

0.004800,170666666.666667
0.004800,170666666.666667
0.005200,157538461.538462
0.003200,256000000.000000
0.004800,170666666.666667
0.005600,146285714.285714
0.004400,186181818.181818
0.004000,204800000.000000
0.006800,120470588.235294
0.008000,102400000.000000
0.005200,157538461.538462
0.006000,136533333.333333
0.007200,113777777.777778
0.010800,75851851.851852
0.005200,157538461.538462
0.008400,97523809.523810
0.007600,107789473.684211
0.006800,120470588.235294
0.008000,102400000.000000
0.009600,85333333.333333
0.017200,47627906.976744
0.004800,170666666.666667
0.006800,120470588.235294
0.006000,136533333.333333
0.009600,85333333.333333
0.007600,107789473.684211
0.006800,120470588.235294
0.006800,120470588.235294
0.017200,47627906.976744
0.016000,51200000.000000
0.006000,136533333.333333
0.007200,113777777.777778
0.013600,60235294.117647
0.004400,186181818.181818
0.005600,146285714.285714
0.008000,102400000.000000
0.006800,120470588.235294
0.006400,128000000.000000
0.006000,136533333.333333
0.005200,157538461.538462
0.005600,146285714.285714
0.008800,93090909.090909
0.005200,157538461.538462
0.011200,73142857.142857
0.009200,89043478.260870
0.022800,35929824.561404
0.010000,81920000.000000
0.013200,62060606.060606
0.014400,56888888.888889
0.010800,75851851.851852

0.005600,146285714.285714
0.004000,204800000.000000
0.004000,204800000.000000
0.004400,186181818.181818
0.005200,157538461.538462
0.004400,186181818.181818
0.006000,136533333.333333
0.004000,204800000.000000
0.004400,186181818.181818
0.004800,170666666.666667
0.004400,186181818.181818
0.004400,186181818.181818
0.005200,157538461.538462
0.004400,186181818.181818
0.003200,256000000.000000
0.004400,186181818.181818
0.004000,204800000.000000
0.006000,136533333.333333
0.007200,113777777.777778
0.005600,146285714.285714
0.004800,170666666.666667
0.005600,146285714.285714
0.008000,102400000.000000
0.005600,146285714.285714
0.004800,170666666.666667
0.005600,146285714.285714
0.005200,157538461.538462
0.005200,157538461.538462
0.005600,146285714.285714
0.004800,170666666.666667
0.008400,97523809.523810
0.008000,102400000.000000
0.003600,227555555.555556
0.012800,64000000.000000
0.006800,120470588.235294
0.005600,146285714.285714
0.015200,53894736.842105
0.007200,113777777.777778
0.010000,81920000.000000
0.008800,93090909.090909
0.006000,136533333.333333
0.009600,85333333.333333
0.012000,68266666.666667
0.006400,128000000.000000
0.005200,157538461.538462
0.004000,204800000.000000
0.006000,136533333.333333
0.008800,93090909.090909
0.016800,48761904.761905
0.012400,66064516.129032

